# time template
3.442382812500000000e-02 1.910115563933400045e-19
3.466796875000000000e-02 1.895604128058596653e-19
3.491210937500000000e-02 1.880069335831581411e-19
3.515625000000000000e-02 1.863519295355563412e-19
3.540039062500000000e-02 1.845962664394932341e-19
3.564453125000000000e-02 1.827408648529621275e-19
3.588867187500000000e-02 1.807866992198318139e-19
3.613281250000000000e-02 1.787347976905680837e-19
3.637695312500000000e-02 1.765862415015341895e-19
3.662109375000000000e-02 1.743421644176738332e-19
3.686523437500000000e-02 1.720037521766476042e-19
3.710937500000000000e-02 1.695722418221469311e-19
3.735351562500000000e-02 1.670489209341920627e-19
3.759765625000000000e-02 1.644351274195789733e-19
3.784179687500000000e-02 1.617322481629526854e-19
3.808593750000000000e-02 1.589417189572533687e-19
3.833007812500000000e-02 1.560650232463744446e-19
3.857421875000000000e-02 1.531036916257042888e-19
3.881835937500000000e-02 1.500593008147043555e-19
3.906250000000000000e-02 1.469334732026393355e-19
3.930664062500000000e-02 1.437278755912561088e-19
3.955078125000000000e-02 1.404442185509303418e-19
3.979492187500000000e-02 1.370842554332677713e-19
4.003906250000000000e-02 1.336497814577748531e-19
4.028320312500000000e-02 1.301426327996457265e-19
4.052734375000000000e-02 1.265646855650211380e-19
4.077148437500000000e-02 1.229178548826414453e-19
4.101562500000000000e-02 1.192040937639070043e-19
4.125976562500000000e-02 1.154253921114922964e-19
4.150390625000000000e-02 1.115837758147968673e-19
4.174804687500000000e-02 1.076813053768635878e-19
4.199218750000000000e-02 1.037200750893177048e-19
4.223632812500000000e-02 9.970221173971330888e-20
4.248046875000000000e-02 9.562987360178911240e-20
4.272460937500000000e-02 9.150524921580520687e-20
4.296875000000000000e-02 8.733055614997727481e-20
4.321289062500000000e-02 8.310803999712373515e-20
4.345703125000000000e-02 7.883997304057611707e-20
4.370117187500000000e-02 7.452865306011147412e-20
4.394531250000000000e-02 7.017640205702455742e-20
4.418945312500000000e-02 6.578556517637213448e-20
4.443359375000000000e-02 6.135850922714551176e-20
4.467773437500000000e-02 5.689762157741667011e-20
4.492187500000000000e-02 5.240530883975087605e-20
4.516601562500000000e-02 4.788399549295546990e-20
4.541015625000000000e-02 4.333612269665581142e-20
4.565429687500000000e-02 3.876414686773145628e-20
4.589843750000000000e-02 3.417053844588019980e-20
4.614257812500000000e-02 2.955778049526881724e-20
4.638671875000000000e-02 2.492836744330479190e-20
4.663085937500000000e-02 2.028480363771805126e-20
4.687500000000000000e-02 1.562960208559901812e-20
4.711914062500000000e-02 1.096528302372213377e-20
4.736328125000000000e-02 6.294372602093002890e-21
4.760742187500000000e-02 1.619401501357161310e-21
4.785156250000000000e-02 -3.057096442622535931e-21
4.809570312500000000e-02 -7.732585595191782601e-21
4.833984375000000000e-02 -1.240452991753465106e-20
4.858398437500000000e-02 -1.707039431173601828e-20
4.882812500000000000e-02 -2.172764604205174729e-20
4.907226562500000000e-02 -2.637375606786474598e-20
4.931640625000000000e-02 -3.100620041439863079e-20
4.956054687500000000e-02 -3.562246160993218357e-20
4.980468750000000000e-02 -4.022002998982621642e-20
5.004882812500000000e-02 -4.479640504647357403e-20
5.029296875000000000e-02 -4.934909687602437725e-20
5.053710937500000000e-02 -5.387562747361323580e-20
5.078125000000000000e-02 -5.837353206106824445e-20
5.102539062500000000e-02 -6.284036049954178371e-20
5.126953125000000000e-02 -6.727367863554697839e-20
5.151367187500000000e-02 -7.167106949873566568e-20
5.175781250000000000e-02 -7.603013479797875336e-20
5.200195312500000000e-02 -8.034849608870089894e-20
5.224609375000000000e-02 -8.462379620415417382e-20
5.249023437500000000e-02 -8.885370044244871036e-20
5.273437500000000000e-02 -9.303589790585836028e-20
5.297851562500000000e-02 -9.716810273928995742e-20
5.322265625000000000e-02 -1.012480553689094234e-19
5.346679687500000000e-02 -1.052735238124587619e-19
5.371093750000000000e-02 -1.092423048789636822e-19
5.395507812500000000e-02 -1.131522253034417488e-19
5.419921875000000000e-02 -1.170011430307080597e-19
5.444335937500000000e-02 -1.207869484408751284e-19
5.468750000000000000e-02 -1.245075652944150125e-19
5.493164062500000000e-02 -1.281609521408894148e-19
5.517578125000000000e-02 -1.317451033574964521e-19
5.541992187500000000e-02 -1.352580501014382454e-19
5.566406250000000000e-02 -1.386978616326162637e-19
5.590820312500000000e-02 -1.420626462984705269e-19
5.615234375000000000e-02 -1.453505524857035502e-19
5.639648437500000000e-02 -1.485597698535570962e-19
5.664062500000000000e-02 -1.516885301124727523e-19
5.688476562500000000e-02 -1.547351080897435399e-19
5.712890625000000000e-02 -1.576978228241685835e-19
5.737304687500000000e-02 -1.605750383742327061e-19
5.761718750000000000e-02 -1.633651646270194190e-19
5.786132812500000000e-02 -1.660666585290223862e-19
5.810546875000000000e-02 -1.686780245272490075e-19
5.834960937500000000e-02 -1.711978157899764103e-19
5.859375000000000000e-02 -1.736246346347919556e-19
5.883789062500000000e-02 -1.759571337400382489e-19
5.908203125000000000e-02 -1.781940166331947650e-19
5.932617187500000000e-02 -1.803340384901810007e-19
5.957031250000000000e-02 -1.823760064960747277e-19
5.981445312500000000e-02 -1.843187814553877966e-19
6.005859375000000000e-02 -1.861612775188544373e-19
6.030273437500000000e-02 -1.879024630107335817e-19
6.054687500000000000e-02 -1.895413614198247403e-19
6.079101562500000000e-02 -1.910770513996046475e-19
6.103515625000000000e-02 -1.925086678137793592e-19
6.127929687500000000e-02 -1.938354017832536400e-19
6.152343750000000000e-02 -1.950565015190370196e-19
6.176757812500000000e-02 -1.961712725617211202e-19
6.201171875000000000e-02 -1.971790783966274827e-19
6.225585937500000000e-02 -1.980793402177296497e-19
6.250000000000000000e-02 -1.988715383112954531e-19
6.274414062500000000e-02 -1.995552113212507137e-19
6.298828125000000000e-02 -2.001299574071627011e-19
6.323242187500000000e-02 -2.005954336353166231e-19
6.347656250000000000e-02 -2.009513569821645610e-19
6.372070312500000000e-02 -2.011975039633057304e-19
6.396484375000000000e-02 -2.013337112815630145e-19
6.420898437500000000e-02 -2.013598754234395895e-19
6.445312500000000000e-02 -2.012759530762676463e-19
6.469726562500000000e-02 -2.010819610889723346e-19
6.494140625000000000e-02 -2.007779764621198332e-19
6.518554687500000000e-02 -2.003641364270477684e-19
6.542968750000000000e-02 -1.998406384515816633e-19
6.567382812500000000e-02 -1.992077398476329706e-19
6.591796875000000000e-02 -1.984657579708361321e-19
6.616210937500000000e-02 -1.976150700147284656e-19
6.640625000000000000e-02 -1.966561128685576740e-19
6.665039062500000000e-02 -1.955893825608315487e-19
6.689453125000000000e-02 -1.944154347458762929e-19
6.713867187500000000e-02 -1.931348835337367239e-19
6.738281250000000000e-02 -1.917484018816333068e-19
6.762695312500000000e-02 -1.902567210752289818e-19
6.787109375000000000e-02 -1.886606299778867454e-19
6.811523437500000000e-02 -1.869609752872868637e-19
6.835937500000000000e-02 -1.851586605144676722e-19
6.860351562500000000e-02 -1.832546459673309721e-19
6.884765625000000000e-02 -1.812499478382787258e-19
6.909179687500000000e-02 -1.791456378876619622e-19
6.933593750000000000e-02 -1.769428431731025660e-19
6.958007812500000000e-02 -1.746427447852299511e-19
6.982421875000000000e-02 -1.722465778966628031e-19
7.006835937500000000e-02 -1.697556306711542221e-19
7.031250000000000000e-02 -1.671712437220124944e-19
